,negativo,positivo,Total
bashed,0,1,1
bashers,0,1,1
bashing,4,1,5
basic,2,10,12
basically,2,6,8
basics,3,0,3
basing,1,0,1
basis,19,14,33
basket,2,0,2
basketball,2,9,11
basketcase,0,1,1
basta,0,1,1
bastille,1,0,1
bastilleday,0,2,2
batali,0,1,1
batch,1,0,1
bates,1,1,2
bathroom,1,1,2
batley,0,1,1
batman,1,0,1
baton,2,4,6
bats,2,0,2
battalion,0,1,1
batting,1,0,1
battle,12,20,32
battlefield,2,1,3
battlefields,0,2,2
battleground,2,6,8
battles,3,8,11
battleship,0,2,2
battling,1,1,2
bay,0,20,20
baye,0,1,1
baylo,0,1,1
bbc,0,3,3
bbq,0,1,1
bc,9,5,14
bcuz,1,1,2
bd,1,0,1
bds,0,1,1
bea,1,4,5
beach,3,46,49
beaches,2,3,5
beacon,0,1,1
beacons,0,1,1
bean,0,3,3
beans,2,2,4
beard,0,1,1
beare,1,0,1
bearing,0,1,1
bears,2,4,6
beast,1,2,3
beat,52,89,141
beatable,0,1,1
beatdown,1,0,1
beaten,11,4,15
beatiful,0,1,1
beating,10,19,29
beatles,0,1,1
beats,3,13,16
beau,1,0,1
beautiful,26,203,229
beautifully,0,6,6
beauty,4,12,16
bebest,1,4,5
beca,0,1,1
becau,2,1,3
becaus,1,1,2
beck,2,3,5
becki,0,1,1
beckley,0,1,1
becool,0,1,1
becos,1,0,1
becsuse,0,1,1
bed,3,4,7
bedbug,0,1,1
bedbugs,2,1,3
bedford,2,3,5
bedlam,1,0,1
bedminste,3,15,18
bedrock,0,1,1
beds,2,5,7
bee,4,4,8
beef,1,8,9
beetles,1,0,1
befall,0,1,1
befo,1,0,1
beg,5,5,10
bega,1,0,1
begala,1,0,1
began,14,10,24
beggars,1,0,1
begged,14,1,15
begging,12,5,17
begin,8,39,47
beginning,49,77,126
beginnings,1,1,2
begins,6,20,26
begrudgingly,2,0,2
begs,0,1,1
begun,6,21,27
beha,1,0,1
behal,0,1,1
behalf,6,54,60
behave,0,1,1
behaved,1,2,3
behaving,4,1,5
behavio,10,6,16
behavior,1,0,1
behavioral,0,1,1
behaviors,0,1,1
behaviou,1,0,1
beheaded,0,1,1
beheading,1,0,1
beheadings,1,0,1
behemoth,1,0,1
behnken,0,1,1
beholden,1,1,2
beijing,0,5,5
beijingbiden,2,0,2
bein,0,1,1
beings,0,3,3
beirut,2,2,4
bel,3,17,20
belatedly,0,1,1
beleaguered,1,0,1
belgians,0,1,1
belgium,0,4,4
belichick,0,4,4
belichicks,0,1,1
belief,4,2,6
beliefs,1,2,3
believable,2,0,2
believe,133,178,311
believed,3,8,11
believers,1,1,2
believes,9,24,33
believing,2,5,7
belittle,4,6,10
belittling,0,4,4
bell,0,3,3
bellavia,0,3,3
bellinge,1,0,1
bells,1,1,2
bellwethe,0,1,1
belong,4,3,7
belongs,2,3,5
beloved,8,6,14
belt,2,1,3
bemoan,0,1,1
ben,13,27,40
bencarson,0,1,1
bench,1,5,6
bend,1,4,5
bending,1,1,2
beneath,0,2,2
benedict,0,1,1
benefacto,0,1,1
beneficial,0,2,2
beneficiaries,3,5,8
beneficiary,0,2,2
benefit,8,23,31
benefited,0,1,1
benefiting,2,4,6
benefits,10,19,29
benefitted,1,0,1
benefitting,0,1,1
benevolent,0,1,1
bengahzi,0,2,2
bengazi,1,0,1
benghazi,10,9,19
benghazihearings,1,0,1
benghazis,1,1,2
benjamin,0,11,11
bennet,1,0,1
bennett,0,1,1
benning,0,1,1
bent,2,1,3
bentez,0,1,1
ber,0,1,1
beret,1,0,1
bergdahl,4,2,6
berghdal,1,0,1
berglund,0,2,2
berkeley,1,0,1
berlin,0,2,2
bernadette,0,1,1
bernardino,0,1,1
bernhardt,0,1,1
bernie,155,39,194
bernieif,1,0,1
berniesanders,0,1,1
berra,1,0,1
berrien,1,0,1
berry,0,1,1
best,86,534,620
besto,1,0,1
bestofthebest,0,1,1
bestowed,0,1,1
bests,0,2,2
bestsel,0,1,1
bestselle,0,3,3
bestselling,0,3,3
bestshowerseve,0,1,1
bet,3,14,17
betas,0,1,1
beth,0,1,1
bethlehem,0,1,1
bethpage,0,5,5
beto,5,3,8
betray,2,1,3
betrayal,0,4,4
betrayed,3,0,3
betraying,0,1,1
bette,161,347,508
better,0,1,1
betteramerica,0,1,1
bettered,1,0,1
betterment,0,1,1
betting,0,4,4
betto,0,1,1
betty,0,1,1
betwe,1,1,2
beverly,0,1,1
bevin,1,3,4
beware,1,5,6
beyon,0,1,1
bezos,1,1,2
bh,1,0,1
bhavan,0,1,1
bi,2,4,6
biarritz,0,12,12
bias,18,24,42
biased,36,44,80
biases,0,1,1
bibi,0,4,4
bible,1,9,10
bibles,1,1,2
bicameral,0,1,1
bid,6,12,18
bidan,1,0,1
bidding,0,1,1
bide,3,0,3
biden,165,185,350
bidenmaybe,1,0,1
bidens,21,11,32
bidentod,0,1,1
biebe,0,1,1
big,431,946,1377
bigge,24,69,93
biggest,78,92,170
biggs,0,1,1
bighead,0,1,1
bighorn,2,0,2
bigleag,0,1,1
bigleagetruth,0,1,1
bigleagu,0,1,1
bigleaguetrut,0,1,1
bigleaguetruth,13,44,57
bigleaguetruthtime,1,0,1
bigly,1,0,1
bigot,0,2,2
bigotry,3,2,5
bigots,0,1,1
bigtime,1,0,1
bike,0,1,1
bikers,0,5,5
bikersfortrump,0,1,1
bil,0,2,2
bilat,0,1,1
bilateral,1,18,19
billary,1,0,1
billboard,1,0,1
billi,0,1,1
billing,0,1,1
billings,0,3,3
billion,94,130,224
billionaire,4,6,10
billionaires,1,2,3
billionare,0,1,1
billionillegals,1,0,1
billions,80,37,117
bills,23,8,31
billy,3,11,14
billygraham,0,2,2
biloxi,0,5,5
bimbo,2,2,4
bin,3,1,4
binary,0,1,1
bind,0,1,1
binding,1,1,2
bingeviewe,1,0,1
binion,0,1,1
biodefense,0,1,1
biography,0,1,1
biological,0,2,2
biotech,1,0,1
bipartisan,19,45,64
biplane,0,1,1
bird,0,1,1
birmingham,0,2,2
birth,1,7,8
birthday,1,80,81
birthe,0,2,2
birthplace,0,1,1
birthright,1,4,5
births,1,1,2
birx,0,2,2
bisbol,0,1,1
bishop,3,22,25
bison,0,1,1
bit,8,19,27
bitch,1,0,1
bitcoin,1,0,1
bite,6,2,8
bites,2,1,3
biting,2,0,2
bits,0,1,1
bitte,0,1,1
bitten,1,0,1
bitterly,0,1,1
bitterness,1,0,1
bittersweet,1,0,1
biz,3,3,6
bizarre,1,0,1
bizarro,1,0,1
bizman,0,1,1
bizzare,0,1,1
bjp,0,1,1
bla,0,1,1
black,26,60,86
blackberry,1,10,11
blackburn,0,3,3
blackface,0,1,1
blackhistorymonth,0,1,1
blacklist,1,0,1
blacklivesmatte,0,1,1
blackmail,0,1,1
blackmailable,1,0,1
blackmailer,0,1,1
blackout,1,0,1
blacks,3,5,8
blacksfortrump,1,0,1
blackvoicesfortrump,0,1,1
blagojevich,1,2,3
blah,0,1,1
blai,0,1,1
blake,1,0,1
blakeman,1,8,9
blame,24,17,41
blamed,5,0,5
blames,6,0,6
blaming,9,9,18
blan,0,1,1
blank,5,1,6
blankenship,0,1,1
blanket,0,1,1
blankets,0,2,2
blasio,5,6,11
blasios,1,0,1
blasiotrashing,1,0,1
blast,1,4,5
blasted,2,1,3
blasts,4,6,10
blatant,1,8,9
blatantly,2,3,5
blaze,2,1,3
blazetv,0,1,1
blazin,1,0,1
blazing,0,1,1
ble,1,0,1
bleach,1,1,2
bleached,1,0,1
bleating,0,1,1
bleed,1,0,1
bleeding,2,0,2
bless,13,100,113
blessed,0,15,15
blessing,0,5,5
blessings,2,7,9
blew,21,3,24
blexit,0,1,1
blighted,1,0,1
blimp,0,1,1
blind,3,2,5
blinded,4,0,4
blinders,1,1,2
blindly,0,1,1
blip,0,1,1
bliss,1,0,1
blitz,0,1,1
blitze,0,1,1
blizzard,1,0,1
blm,0,3,3
bloated,1,0,1
block,11,7,18
blockbuste,0,2,2
blockbusters,1,0,1
blocked,13,1,14
blocking,9,10,19
blocks,1,1,2
blog,2,0,2
blogge,1,0,1
bloggers,0,1,1
blonde,0,1,1
bloo,0,1,1
blood,7,5,12
bloodbath,0,2,2
blooded,1,0,1
bloodiest,0,1,1
bloody,0,1,1
bloombeg,1,0,1
bloomberg,29,21,50
blow,12,8,20
blowe,1,0,1
blowing,4,6,10
blown,4,4,8
blowout,3,4,7
blows,6,3,9
blowtorch,0,1,1
bludgeoning,1,2,3
blue,5,44,49
bluegrass,0,1,1
bluelivesmatter,0,1,1
blueprint,0,3,3
blues,0,1,1
bluff,1,0,1
bluffing,1,1,2
bluffs,0,5,5
bluffton,0,1,1
bluish,1,0,1
blumenthal,5,8,13
blunde,1,1,2
blunt,1,1,2
blurs,0,1,1
bmw,1,0,1
bo,1,1,2
board,16,31,47
boarde,6,2,8
boarded,0,2,2
boarding,0,3,3
boardroom,8,18,26
boardrooms,0,1,1
boards,0,1,1
boardtoday,0,1,1
boasts,0,2,2
boat,3,7,10
boaters,0,4,4
boats,0,1,1
bob,45,42,87
bobbie,0,1,1
bobby,2,16,18
bobic,0,1,1
boca,0,2,2
bodes,0,1,1
bodied,1,1,2
body,7,3,10
bodyguards,1,1,2
boebe,0,1,1
boebert,0,1,1
boehne,1,1,2
boeing,2,9,11
boente,0,1,1
bogged,2,0,2
boggles,0,1,1
boggling,0,1,1
bogu,1,0,1
bogus,6,2,8
boise,0,1,1
bold,2,16,18
bolde,0,2,2
boldest,0,1,1
boldly,1,4,5
bolivia,0,2,2
bolling,0,1,1
bolsonaro,0,3,3
bolst,0,1,1
bolste,1,0,1
bolt,0,1,1
bolto,0,1,1
bolton,13,22,35
boltons,1,0,1
bomb,9,7,16
bombe,1,0,1
bombed,12,2,14
bombers,0,1,1
bombing,5,3,8
bombmake,1,0,1
bombs,4,0,4
bombshell,6,7,13
bombshells,1,0,1
bonaparte,0,1,1
bond,0,2,2
bondi,0,3,3
bonds,1,7,8
bone,3,0,3
bonehead,0,1,1
boneheads,1,0,1
bongino,7,9,16
bonkers,2,1,3
bonus,1,4,5
bonuses,6,3,9
boo,1,0,1
booed,1,2,3
booing,1,0,1
book,44,274,318
booke,1,1,2
booked,1,2,3
booketc,1,0,1
books,6,24,30
boom,10,21,31
boomed,2,0,2
boomerang,0,1,1
boomeranging,0,1,1
booming,15,26,41
booms,0,1,1
boondoggles,0,1,1
boone,0,2,2
boos,1,2,3
boost,4,9,13
booste,0,1,1
boosted,2,2,4
boosting,1,1,2
boot,1,2,3
bootedgeedge,0,1,1
booth,2,6,8
booths,1,0,1
borde,370,539,909
border,0,2,2
bordercontrol,0,1,1
bordercrisis,1,0,1
borderit,0,1,1
borderless,1,1,2
borderline,0,1,1
borders,75,166,241
bordersthey,1,0,1
borderswhich,0,1,1
bore,4,2,6
bored,1,1,2
borges,0,1,1
boring,42,14,56
boringly,0,1,1
boris,2,15,17
born,10,16,26
bornaliveact,1,0,1
borne,1,0,1
borrow,2,5,7
borrowing,2,0,2
bosa,0,1,1
boss,8,14,22
bosses,9,11,20
bossie,0,1,1
boston,6,11,17
bot,0,1,1
botanicals,0,1,1
botch,1,0,1
botched,1,0,1
bothe,2,1,3
bothered,1,3,4
bots,0,1,1
bottle,0,1,1
bottleneck,0,1,1
bottles,0,1,1
bought,13,23,36
bounce,3,0,3
bouncing,0,1,1
bound,1,3,4
boundaries,0,1,1
boundless,0,1,1
bounds,1,2,3
bounties,0,1,1
bounty,2,1,3
bourne,1,0,1
bow,1,2,3
bowden,0,1,1
bowe,1,0,1
bowing,0,1,1
bowl,1,16,17
bowls,0,3,3
bows,0,1,1
bowse,1,0,1
box,7,6,13
boxe,2,0,2
boxers,2,0,2
boxes,3,3,6
boxing,0,5,5
boy,9,10,19
boycott,8,8,16
boycottcnn,2,0,2
boycotted,3,1,4
boycotting,0,3,3
boycottmacys,2,2,4
boycotts,1,0,1
boynton,0,1,1
boys,4,6,10
bozo,1,0,1
bp,1,1,2
br,0,1,1
bracing,0,1,1
brad,2,17,19
bradley,0,1,1
brady,6,24,30
bragg,0,2,2
bragging,1,2,3
brain,6,3,9
braine,0,3,3
brainiacs,1,0,1
brainpowe,1,2,3
brains,2,4,6
brainwashed,0,1,1
braithwaite,0,1,1
branch,3,5,8
branches,1,0,1
brand,3,25,28
brandi,1,12,13
branding,0,2,2
brandon,2,16,18
brands,0,1,1
brantly,1,0,1
brashe,0,1,1
brass,2,1,3
brat,2,1,3
braun,0,4,4
brava,0,1,1
bravado,1,0,1
brave,10,75,85
braved,0,1,1
bravely,1,6,7
bravery,3,12,15
bravest,1,4,5
bravo,1,5,6
braxton,1,0,1
brazen,1,2,3
brazenly,1,0,1
brazil,1,12,13
brazile,4,3,7
brazilian,0,3,3
breach,1,2,3
breached,1,1,2
breaching,1,0,1
breadth,0,1,1
break,16,13,29
breakdown,5,0,5
breakers,1,0,1
breakfast,0,10,10
breaking,70,83,153
breakingnews,1,1,2
breakout,1,1,2
breaks,7,3,10
breakthrough,1,6,7
breakthroughs,0,2,2
breakthru,0,1,1
breakup,5,0,5
breast,2,0,2
breath,4,5,9
breathe,2,0,2
breathing,1,1,2
breathtaking,1,2,3
breathtakingly,1,0,1
breckenridge,0,1,1
breed,0,1,1
breeding,1,0,1
breeds,1,2,3
breeland,0,1,1
brees,0,4,4
breitba,3,12,15
breitbartnews,0,1,1
bremme,0,1,1
brenda,0,2,2
brennan,16,25,41
bret,3,4,7
brett,11,19,30
brewe,2,3,5
brewing,1,0,1
brexit,8,9,17
bri,0,1,1
brian,17,43,60
bribe,3,2,5
bribed,3,0,3
bribery,7,10,17
bribes,0,1,1
bride,0,1,1
bridge,3,6,9
bridgea,0,1,1
bridgegate,0,1,1
bridgepo,0,1,1
bridges,5,4,9
bridgestone,0,1,1
brie,0,1,1
brief,1,2,3
briefe,1,0,1
briefed,6,12,18
briefing,6,63,69
briefings,2,6,8
briefs,0,2,2
brien,3,3,6
brigade,0,1,1
bright,8,16,24
brighte,1,3,4
brigid,1,0,1
brigitte,0,2,2
briliant,0,1,1
brilli,1,0,1
brilliance,0,5,5
brilliant,4,45,49
brilliantly,0,8,8
brin,0,1,1
bring,61,146,207
bringing,23,52,75
brings,3,17,20
brit,2,2,4
britain,2,8,10
british,6,9,15
brits,0,1,1
britt,0,1,1
bro,0,1,1
broad,2,1,3
broadband,2,1,3
broadcast,4,7,11
broadcaste,1,0,1
broadcasting,2,3,5
broadcasts,1,2,3
broadcom,0,1,1
broaddrick,2,0,2
broade,0,1,1
broadest,1,0,1
broadly,1,1,2
broadway,2,3,5
brock,0,2,2
brody,1,3,4
broke,41,8,49
broken,44,12,56
bronx,1,9,10
brooklyn,0,1,1
brooks,1,8,9
bros,1,0,1
brosnan,0,1,1
brothe,24,22,46
brother,1,0,1
brothers,6,6,12
brotherswow,1,0,1
brou,0,1,1
brought,54,58,112
brouillette,0,1,1
broward,4,7,11
brown,9,10,19
bruce,19,17,36
bruising,0,1,1
brunch,0,2,2
bruni,0,1,1
bruno,0,2,2
brunson,2,9,11
brushing,0,1,1
brussels,6,10,16
brutal,9,5,14
brutality,0,2,2
brutally,1,0,1
bryan,1,2,3
bryant,1,4,5
bryce,1,2,3
brzezinski,1,1,2
bs,10,7,17
btw,0,5,5
bu,3,3,6
bubba,0,1,1
bubble,0,1,1
buchanan,0,3,3
buck,0,1,1
bucket,1,0,1
buckets,0,1,1
buckeye,0,1,1
buckingham,1,1,2
buckle,1,1,2
buckley,1,0,1
bucksexton,0,1,1
budapest,1,0,1
budd,0,1,1
buddhists,0,2,2
buddies,0,1,1
budding,0,1,1
buddy,2,5,7
budge,1,0,1
budget,18,29,47
budgeting,1,0,1
budgets,1,3,4
buena,0,1,1
buenos,0,1,1
buffalo,2,2,4
buffet,1,1,2
buffoon,1,0,1
buffy,0,1,1
bug,0,1,1
bui,0,1,1
build,54,98,152
builde,1,1,2
builders,0,1,1
building,38,82,120
buildings,3,5,8
buildingthewall,1,0,1
builds,1,4,5
buildthefence,1,0,1
buildthewal,0,1,1
buildthewall,1,2,3
built,44,80,124
bukele,0,2,2
bulb,0,1,1
bulk,0,1,1
bull,5,6,11
bullard,1,0,1
bullet,1,1,2
bullets,0,1,1
bullied,4,0,4
bullschiffhoax,1,0,1
bullsh,0,1,1
bullshit,3,4,7
bully,4,0,4
bullying,3,0,3
bumbling,1,1,2
bumme,0,1,1
bump,0,10,10
bumpe,0,1,1
bumping,0,3,3
bunch,5,5,10
bundle,0,1,1
bundlers,0,1,1
bungled,1,0,1
bungling,0,2,2
bunk,1,0,1
bunke,2,1,3
bunny,0,2,2
buoy,0,2,2
bur,3,9,12
burch,0,1,1
burden,2,6,8
burdened,0,1,1
burdens,2,1,3
burdensome,0,1,1
bureau,1,8,9
bureaucracy,1,1,2
bureaucratic,0,2,2
bureaucrats,4,6,10
burge,1,1,2
burgess,0,3,3
burglary,1,0,1
burgum,0,1,1
burgums,0,1,1
burial,0,1,1
burials,0,1,1
burisma,3,5,8
burismahe,0,1,1
burke,0,1,1
burling,1,0,1
burlington,0,5,5
burn,10,5,15
burned,3,1,4
burnett,0,2,2
burning,9,7,16
burns,1,1,2
burritt,0,1,1
burst,0,1,1
bury,3,0,3
burying,0,1,1
bus,7,7,14
busan,0,1,1
buses,0,1,1
busey,0,2,2
bush,85,118,203
busha,1,0,1
bushes,3,0,3
bushs,0,1,1
bushsall,0,1,1
bushy,4,0,4
busiest,0,1,1
busin,1,1,2
busine,0,2,2
busines,0,1,1
busineses,1,0,1
business,95,198,293
businesses,46,70,116
businessestoday,1,0,1
businessman,4,38,42
businessmen,1,5,6
businesspeople,0,1,1
busing,0,1,1
bust,13,2,15
buste,0,1,1
busted,2,2,4
busting,0,3,3
bustling,0,1,1
busts,0,1,1
busy,8,13,21
butas,1,0,1
butchery,1,0,1
butle,0,1,1
butt,0,1,1
buttigieg,4,3,7
button,4,3,7
buy,31,42,73
buyamericanhireamerican,0,2,2
buye,2,1,3
buyers,2,1,3
buying,5,16,21
buyingtips,1,0,1
buys,3,5,8
buzz,1,3,4
buzzes,0,1,1
buzzfeed,5,2,7
bye,8,4,12
bynum,0,2,2
bypass,0,1,1
bypoliticians,1,0,1
byrd,0,1,1
byrne,0,1,1
byron,1,1,2
bystanders,1,0,1
ca,35,52,87
cabal,4,4,8
cabanas,0,1,1
cabinet,6,14,20
cable,7,16,23
cabs,1,0,1
cadets,1,2,3
cadillac,1,7,8
caesa,1,0,1
caesars,1,2,3
cages,4,4,8
caight,1,0,1
cain,0,1,1
cajones,0,1,1
cajunnavy,0,2,2
cake,1,0,1
caked,0,1,1
cal,2,3,5
calamity,0,1,1
calculated,0,2,2
caldwell,0,5,5
calenda,1,1,2
calexico,0,3,3
calif,2,0,2
california,68,105,173
californias,0,1,1
caliphate,10,6,16
calle,1,6,7
called,146,144,290
calling,39,42,81
calls,31,68,99
calm,3,15,18
calmly,0,1,1
cam,1,1,2
camarotta,2,0,2
cambodia,0,1,1
cambridge,0,1,1
came,70,65,135
cameo,0,1,1
camera,5,1,6
cameras,3,6,9
cameron,1,7,8
camerota,0,1,1
camouflage,1,0,1
camp,11,27,38
campaign,168,369,537
campaigne,1,0,1
campaigned,4,9,13
campaignhis,1,0,1
campaigning,11,21,32
campaigns,5,2,7
campaing,0,1,1
camper,0,1,1
camping,0,3,3
campos,0,3,3
camps,1,1,2
campus,1,2,3
campuses,0,2,2
cams,0,1,1
canada,32,74,106
canadian,7,7,14
canadians,1,1,2
cance,2,3,5
cancel,13,4,17
cancelations,0,1,1
canceled,4,1,5
canceling,0,1,1
cancelingmycard,1,0,1
cancellation,0,1,1
cancelled,10,1,11
cancelling,3,2,5
cancels,2,0,2
cand,0,1,1
candace,1,4,5
candi,0,1,1
candid,1,2,3
candidacy,2,14,16
candidat,1,0,1
candidate,91,133,224
candidates,50,63,113
candidly,1,0,1
candle,1,0,1
cando,1,1,2
candy,0,1,1
canidate,1,0,1
canley,0,2,2
cannabis,0,1,1
cannon,1,0,1
cano,0,1,1
canopies,1,0,1
canterbury,0,1,1
canton,0,2,2
cantwait,0,1,1
canvas,0,1,1
cap,1,3,4
capabilities,0,2,2
capability,1,3,4
capable,6,4,10
capacity,5,15,20
cape,0,3,3
capecanaveral,0,1,1
capita,0,1,1
capital,7,15,22
capitalism,0,1,1
capitalist,0,4,4
capitalize,0,3,3
capitalized,0,2,2
capitals,0,2,2
capito,0,1,1
capitol,8,13,21
capitulated,1,0,1
capone,2,0,2
caprimary,0,1,1
caps,1,4,5
capt,0,1,1
captain,3,8,11
captainamerica,0,1,1
captivated,0,1,1
captivates,1,0,1
captivating,0,1,1
captives,0,1,1
captivity,0,1,1
capture,3,1,4
captured,4,12,16
captures,0,3,3
capturing,1,3,4
caputo,0,2,2
car,0,2,2
carafano,1,0,1
caralle,0,1,1
caravan,10,5,15
caravans,15,7,22
carbon,6,3,9
card,10,15,25
cards,3,4,7
care,89,127,216
cared,2,3,5
caree,21,37,58
careers,0,2,2
carefree,0,1,1
careful,20,30,50
carefully,3,5,8
caregivers,0,2,2
careless,2,2,4
cares,10,34,44
caresact,0,5,5
caresactsmall,0,2,2
caresactthe,0,1,1
cargo,0,4,4
caribbean,0,3,3
caring,2,1,3
carl,1,4,5
carla,0,1,1
carlos,0,2,2
carlson,0,3,3
carly,8,5,13
carlyfiorina,1,0,1
carlyi,0,1,1
carmel,0,2,2
carmen,0,1,1
carnage,6,1,7
carnival,0,2,2
carol,0,4,4
carolina,35,258,293
carolinaitunes,0,1,1
carolinas,1,2,3
carolinated,1,0,1
carols,1,0,1
caronavirus,1,1,2
carpet,3,0,3
carranza,0,1,1
carrie,1,8,9
carried,2,6,8
carrier,0,1,1
carriers,1,1,2
carroll,1,0,1
carry,7,12,19
carrying,4,5,9
cars,14,23,37
carshow,1,0,1
carson,20,58,78
carte,13,18,31
cartel,0,1,1
cartels,7,10,17
carterwe,1,0,1
cartoon,2,0,2
cartoons,0,1,1
carve,1,0,1
cary,0,1,1
cas,0,1,1
casa,0,1,1
case,139,119,258
caseit,1,0,1
cases,44,13,57
casey,0,3,3
cash,20,11,31
cashinin,1,0,1
casino,0,1,1
cassidy,2,3,5
cast,7,27,34
casting,0,1,1
castle,0,2,2
castro,3,3,6
casual,0,1,1
casualties,1,3,4
cat,0,3,3
cataclysmic,0,1,1
catalyst,0,1,1
catanzara,0,1,1
catastrophe,3,7,10
catastrophic,9,2,11
catch,8,15,23
catche,3,1,4
catches,0,1,1
catching,1,5,6
categories,1,4,5
category,7,11,18
caterpilla,0,1,1
catfight,0,1,1
cathedral,2,3,5
catherine,4,3,7
catherines,0,1,1
catholic,1,7,8
catholics,1,0,1
catholicsfortrump,0,1,1
cathy,0,2,2
cats,1,1,2
cattle,0,2,2
cattlemen,0,1,1
caucus,5,28,33
caucuses,1,0,1
caucusfortrump,0,10,10
caucusgoers,0,1,1
caught,88,26,114
causando,0,1,1
cause,14,21,35
caused,23,13,36
causes,0,1,1
causing,14,4,18
cautious,3,1,4
cavalry,0,1,1
cave,2,7,9
caved,2,1,3
caves,0,1,1
caving,0,4,4
cavuto,5,3,8
cavutos,1,0,1
cbn,0,1,1
cbnnews,0,1,1
cbo,1,2,3
cbp,2,1,3
cbs,14,21,35
cbsnews,0,1,1
cc,2,8,10
ccolvinj,0,1,1
ccot,0,2,2
ccps,0,1,1
cd,1,1,2
cdc,2,15,17
cdcs,0,2,2
cdctravelnotice,0,1,1
cdt,0,3,3
ce,2,0,2
cea,1,0,1
ceas,1,0,1
cease,1,2,3
ceased,0,1,1
ceasefire,3,9,12
cecily,0,2,2
ceda,2,8,10
cede,2,1,3
ceejay,0,1,1
ceiling,1,3,4
cel,0,1,1
celbrityapprentice,0,1,1
celeapprentice,0,1,1
celeb,1,8,9
celebapprentice,22,116,138
celebrate,1,57,58
celebrated,2,8,10
celebrates,0,3,3
celebrating,1,26,27
celebration,1,21,22
celebrations,0,5,5
celebrators,0,1,1
celebratory,1,0,1
celebraty,0,1,1
celebrities,3,7,10
celebrity,7,63,70
celebrityapprenctice,0,1,1
celebrityapprentice,14,91,105
celebrityapprenticewinne,0,1,1
celebs,1,2,3
cell,6,4,10
cellphone,2,3,5
cellphones,0,1,1
cellula,0,1,1
cemetary,1,1,2
cemeteries,0,1,1
cemetery,3,7,10
censo,2,2,4
censoring,1,0,1
censors,1,2,3
censorship,4,6,10
censu,0,1,1
censure,3,6,9
censured,1,0,1
censureschiff,1,0,1
census,6,7,13
cent,0,1,1
cente,18,76,94
centennial,0,4,4
center,0,2,2
centerpiece,0,1,1
centers,6,7,13
centra,0,1,1
central,8,12,20
centric,1,0,1
centro,1,0,1
cents,0,2,2
century,4,16,20
centuryofservice,0,1,1
ceo,11,31,42
ceos,0,8,8
ceotownhall,0,1,1
cept,1,0,1
ceremonial,0,2,2
ceremony,0,28,28
cernekee,0,2,2
certai,0,1,1
certain,19,40,59
certainly,8,12,20
certainty,0,5,5
certificate,0,4,4
certified,0,3,3
cesspool,1,0,1
cetra,0,1,1
cfap,0,1,1
cfp,0,1,1
cfpb,1,1,2
cg,0,1,1
cgacommencement,0,1,1
cgc,0,1,1
cguard,0,1,1
cgxs,0,1,1
ch,1,5,6
cha,1,4,5
chabad,1,0,1
chad,1,0,1
chafee,1,0,1
chafey,0,1,1
chaffetz,1,7,8
chagsameach,0,1,1
chai,5,17,22
chain,13,13,26
chains,1,0,1
chainsand,1,0,1
chainsaw,1,0,1
chairm,0,2,2
chairman,30,84,114
chairs,1,2,3
chairwoman,1,2,3
chakraborty,0,1,1
chalian,0,1,1
chalkboard,0,1,1
challenge,4,18,22
challenged,7,1,8
challengers,0,1,1
challenges,2,10,12
challenging,0,4,4
chambe,1,7,8
chambers,0,1,1
champ,0,5,5
champion,3,47,50
championed,0,2,2
championing,0,1,1
champions,2,25,27
championship,2,12,14
championships,0,6,6
champs,0,1,1
chan,1,0,1
chance,61,76,137
chancello,1,7,8
chances,7,3,10
chanded,0,1,1
chang,1,1,2
change,84,121,205
changed,29,30,59
changer,0,1,1
changers,0,2,2
changes,8,32,40
changethelaws,0,1,1
changetheworldin,0,1,1
changing,11,22,33
channe,1,1,2
channel,5,7,12
channeling,0,1,1
channels,2,1,3
chant,1,5,6
chanting,3,3,6
chants,1,2,3
chao,0,1,1
chaos,12,10,22
chaotic,2,2,4
chapman,0,1,1
chapo,2,4,6
chapos,1,0,1
chapte,1,1,2
characte,2,7,9
characterize,0,1,1
characterizing,1,0,1
characters,3,2,5
charade,7,9,16
charge,31,40,71
chargeable,1,0,1
charged,12,16,28
charges,40,15,55
charging,7,3,10
chariman,0,1,1
charisma,0,3,3
charismatic,0,1,1
charitable,1,3,4
charities,1,6,7
charity,6,17,23
charlamagne,1,0,1
charle,1,0,1
charles,8,14,22
charleston,1,10,11
charlevoix,0,2,2
charlie,6,14,20
charliegard,0,1,1
charlot,1,0,1
charlotte,4,13,17
charlottesville,5,6,11
charm,0,2,2
charte,1,2,3
charts,1,1,2
chase,2,3,5
chases,0,1,1
chasing,1,2,3
chasm,0,1,1
chastise,1,0,1
chastised,1,0,1
chat,1,2,3
chatbot,0,1,1
chattanooga,1,3,4
chatted,0,1,1
chatting,0,1,1
chavez,0,1,1
cheap,1,4,5
cheape,1,4,5
cheat,4,1,5
cheate,0,2,2
cheated,7,0,7
cheaters,1,1,2
cheatin,1,1,2
cheating,8,2,10
cheats,1,0,1
check,22,86,108
checke,1,5,6
checked,4,2,6
checkers,1,3,4
checking,3,3,6
checkmark,0,1,1
checks,2,13,15
chee,2,3,5
cheering,1,1,2
cheerleading,1,1,2
cheers,0,4,4
cheese,0,1,1
cheeto,1,0,1
chef,0,1,1
cheif,1,0,1
chelsea,1,3,4
chemical,5,0,5
chemistry,2,1,3
